word	weight
eksklusif	0.8
eksplisit	0.6
eksplorasi	0.8
ekspres	0.6
ekstensif	0.6
ekstra	0.6
ekstremis	0.6
elegan	0.8
elektromotif	0.6
elite	1.0
elu	0.6
embel-embel	1.0
emir	0.8
emong	0.6
enak	1.0
endus	0.6
endut-endut	0.6
eneng	1.0
energi	0.6
energik	1.0
enjoy	0.6
enteng	0.8
entitas	0.2
erti	0.4
esa	0.6
esai	0.4
estetik	0.8
estetis	0.8
eviden	0.6
faal	0.8
fadil	0.6
faedah	0.8
fair	0.6
faktitius	0.6
faktual	0.6
familiar	0.4
fanbase	0.6
fans	0.4
fantasi	0.6
fantasy	0.4
fatamorgana	0.6
fatanah	0.6
fav	1.0
favorit	0.6
favorite	0.8
federasi	0.6
fertil	0.8
fiesta	0.6
figur	0.6
fiksi	0.4
filantropi	0.4
filial	0.4
filsafat	0.6
final	0.6
fine	0.6
fit	0.8
fitrah	0.6
fokus	0.6
follback	0.2
formasi	0.6
foto	0.6
free	0.6
friends	0.6
fusi	0.8
gagah	1.0
gairah	0.6
gajak	0.8
gali ilmu	0.8
gambir	0.6
game	0.4
gampang	0.8
ganduh	0.6
gangsar	0.8
gani	0.8
ganjar	1.0
ganjar balas	0.2
ganjaran	1.0
ganjaran balasan	0.2
ganjil	0.8
ganteng	0.8
ganti	0.6
gapah	1.0
gapai	0.6
gapaian	0.6
garda	0.6
gari	0.6
garing	1.0
garis besar	0.4
gatra	0.6
gebyar	0.8
gede	0.4
gedembal	0.4
geger	0.8
gelak	0.4
gelar	0.4
gelebah	0.4
geleser	0.2
gelora	0.4
gema	0.2
gemar	1.0
gembira	1.0
gembur	1.0
gemi	0.6
gemirang	0.8
gempa	0.8
gempa bumi	0.8
gempar	0.8
gending	0.2
gengsi	0.8
genial	0.8
genit	1.0
genius	0.6
gentas	0.6
gerak gerik	0.2
gerak hati	0.8
gerak laku	0.2
gerak-gerik	0.8
gerakan	0.8
gerha	0.6
gerimis	0.2
getas	1.0
giliran	0.6
girang	0.6
girik	0.6
girik-girik	0.6
gita	0.4
gobek	0.6
gokil	0.6
gol	0.6
golongan atas	1.0
gombal	0.4
gombrang	0.6
gombroh	0.6
gombrong	0.6
gontai	0.2
good	1.0
grahita	0.6
gratifikasi	0.4
gratis	0.8
great	0.6
gres	0.8
guar	0.6
gubahan	0.6
gubris	0.6
gudi	0.8
gugah	0.4
guna	0.2
guntang-guntang	0.6
gurih	0.2
guru	0.6
gurufavorit	0.6
gusti	0.8
gutuk	0.8
guys	0.2
gws	0.4
habis	0.6
habituasi	0.2
hadiah	0.8
hai	0.6
hakimah	0.8
hallo	0.8
halo	0.2
haloo	0.6
hamba allah	0.6
hamparan	0.6
hangat	0.8
happy	1.0
harap	0.6
harga	0.6
harga diri	0.6
harkat	1.0
harmonis	0.6
harmonisasi	0.6
harmonisasiuniv	0.4
harum	1.0
hasil	0.6
hastag	0.2
hati	0.4
hatiku	0.4
hay	0.2
hayat	0.6
hayo	0.8
heban	0.8
hebring	0.6
hello	0.4
helloo	0.2
hellooo	0.4
help	0.4
helpful	0.8
hemat	0.8
hendak	0.2
hendaknya	0.2
heran	0.8
herbal	0.4
hi	0.2
hias	0.6
hiasan	0.6
hibah	0.8
hidang	0.4
hii	0.6
hiii	0.2
hijau	0.6
hikmah	0.4
hikmat	0.6
hilir	0.8
hipotetis	0.6
hiruk-pikuk	0.8
hitung	0.2
hoki	0.6
homogen	0.4
hostel	0.2
hotel	0.2
hujan gerimis	0.2
hujan ringan	0.4
hukum	0.6
hulubalang	0.6
hutan	0.6
hy	0.2
ibadah	0.8
ibadat	0.8
idam	0.6
idaman	0.6
ideal	0.6
idiosinkratis	0.8
iflix	0.2
ihsan	0.8
ijtihad	0.6
ikhlas	0.8
iktifak	0.8
ikut serta	0.6
ikutan	0.8
ilmu	0.8
ilusi	0.6
imaji	0.6
iman	0.6
imbal	0.2
imbuh	0.2
imitasi	0.6
imla	0.2
impian	0.6
import	0.4
impulsif	0.6
imut-imut	0.8
inap	0.4
inayat	0.8
indah	0.6
indah ambang	0.8
indikasi	0.4
individual	0.8
infak	0.8
inferensi	0.6
infinit	0.6
informasi	0.4
informasinya	0.4
ingat-ingat	0.8
ingatan	0.6
inkorporasi	0.6
inovasi	0.8
insentif	0.6
insinye	0.8
instingtif	0.6
insyaallah	0.4
intan	0.6
integrasi	0.6
intelektual	0.6
intensi	0.6
interaksi	0.6
interes	0.8
interferensi	0.4
interpretasi	0.6
interupsi	0.6
intim	0.4
intrik	0.8
intuitif	0.6
inventif	0.8
inventivitas	0.8
invitasi	0.4
invite	0.2
irama	0.8
irit	0.4
iritasi	0.2
isbat	0.6
isi perut	0.6
islam	0.8
itifak	0.8
itihad	0.6
jabar	0.6
jagalah	0.6
jago	0.6
jagoan	0.6
